sku;post_title;post_excerpt;post_content;post_status;regular_price;sale_price;stock_status;stock;manage_stock;weight;Images;tax:product_type;tax:product_cat
28700104;Blaasmond plat an6000f t.b.v. lbx6000;;;publish;6.60;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;bladblazers_en_hakselaars
28700105;Blaasmond ant6002 t.b.v. lb6000;;;publish;24.78;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;bladblazers_en_hakselaars
28700106;Ego harnass afh1500 t.b.v. bax1500 0340169587;;;publish;106.61;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;accus_en_laders
28700108;Ego kabelhaak voor bax1500 ach1500 0340169644;;;publish;4.12;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;accus_en_laders
28700109;Ego wandbeugel awh1500 0340169649;;;publish;41.31;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;accus_en_laders
28700120;Ego spool as3800 0340169646 zonder maaidraad;;;publish;12.38;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;bosmaaiers_en_trimmers
28700125;Ego onderschotel abt3800 = 3129386001;;;publish;5.77;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;bosmaaiers_en_trimmers
28700134;Ego abp1700 mulchmes +plug for lm1700e, lm1700e-sp;;;publish;34.70;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;toebehoren_maaimachines
28700135;Ego ab1901 standaard mes;;;publish;17.34;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;toebehoren_maaimachines
28700136;Ego abp1900 mulchmes + plug;;;publish;38;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;toebehoren_maaimachines
28700140;Ego flatnozzle an5801;;;publish;12.38;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;bladblazers_en_hakselaars
28700142;Ego ab1700d mulching blade voor lm1700e-lm1700e-sp;;;publish;15.69;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;toebehoren_maaimachines
28700144;Ego ab1900d mulching blade voor lm1900e - lm1900e-sp;;;publish;17.34;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;toebehoren_maaimachines
28700146;Ego abr2300 messet rtx2300 = rta2300;;;publish;94.21;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;bosmaaiers_en_trimmers
28700147;Ego acb9500 bladeset cta9500;;;publish;66.10;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;multitools
28700148;Ego abs2100 brush pair borstel paar;;;publish;106.61;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;multitools
28700150;EGO 91PX062E ketting AC1800   voor CS1800E  =AC1801;;;publish;19;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;zaagkettingen_en_onderdelen
28700151;Ego ag1800 45cm guide bar;;;publish;28.91;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;zaagkettingen_en_onderdelen
28700152;Ego bbox2550 accu opbergbox;;;publish;74.37;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;opbergen
28700153;Ego bbox3000 accu opbergbox;;;publish;123.14;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;opbergen
28700154;Ego handschoen gv001e-xxxl maat xxxl synthetisch;;;publish;13.21;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;handschoenen
28700155;Ego paddle broom arb2100;;;publish;82.63;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;multitools
